sample#,time(ms),Value
0,0,80.9908
1,2,71.4717
2,4,53.9869
3,6,35.0285
4,8,14.3773
5,10,-6.33269
6,12,-24.9997
7,14,-41.723
8,16,-49.6533
9,18,-36.9163
10,20,-15.5185
11,22,7.36076
12,24,32.1579
13,26,57.5774
14,28,80.5434
15,30,100.983
16,32,110.485
17,34,94.243
18,36,67.3337
19,38,38.0824
20,40,7.67905
21,42,-18.8365
22,44,-42.2613
23,46,-62.9913
24,48,-76.9373
25,50,-78.5888
26,52,-71.71
27,54,-64.5504
28,56,-40.9722
29,58,29.5592
30,60,104.681
31,62,169.927
32,64,189.727
33,66,92.0352
34,68,-51.1828
35,70,-197.456
36,72,-348.942
37,74,-496.443
38,76,-624.395
39,78,-733.204
40,80,-775.832
41,82,-669.981
42,84,-499.598
43,86,-311.972
44,88,-111.661
45,90,77.4924
46,92,253.894
47,94,421.792
48,96,543.498
49,98,558.437
50,100,525.091
51,102,475.114
52,104,411.496
53,106,352.401
54,108,293.527
55,110,231.737
56,112,182.439
57,114,167.414
58,116,168.421
59,118,169.892
60,120,187.268
61,122,245.91
62,124,306.737
63,126,356.899
64,128,359.606
65,130,242.103
66,132,76.7538
67,134,-95.1509
68,136,-272.745
69,138,-440.526
70,140,-591.884
71,142,-728.617
72,144,-815.303
73,146,-792.99
74,148,-719.237
75,150,-624.937
76,152,-514.312
77,154,-407.403
78,156,-297.622
79,158,-181.745
80,160,-71.8437
81,162,17.1554
82,164,95.2404
83,166,163.785
84,168,228.274
85,170,304.479
86,172,369.401
87,174,418.014
88,176,423.506
89,178,332.239
90,180,202.749
91,182,67.2183
92,184,-65.5421
93,186,-169.864
94,188,-253.508
95,190,-326.788
96,192,-357.986
97,194,-295.752
98,196,-196.924
99,198,-86.5406
100,200,11.3957
101,202,41.4987
102,204,53.0915
103,206,66.6379
104,208,95.1352
105,210,177.405
106,212,272.719
107,214,362.251
108,216,432.927
109,218,452.106
110,220,447.321
111,222,432.401
112,224,407.174
113,226,379.477
114,228,344.159
115,230,300.363
116,232,245.757
117,234,173.118
118,236,93.1775
119,238,11.6078
120,240,-66.8312
121,242,-132.694
122,244,-191.41
123,246,-242.58
124,248,-290.567
125,250,-347.501
126,252,-394.584
127,254,-427.145
128,256,-423.843
129,258,-342.435
130,260,-227.774
131,262,-102.772
132,264,22.8256
133,266,122.681
134,268,213.192
135,270,296.636
136,272,380.14
137,274,486.926
138,276,581.132
139,278,660.927
140,280,668.9
141,282,491.022
142,284,259.62
143,286,-39.2225
144,288,-173.008
145,290,337.155
146,292,893.51
147,294,1363.05
148,296,1123.42
149,298,-865.534
150,300,-3746.86
151,302,-8305.99
152,304,-11691.4
153,306,-10106.3
154,308,-6575.8
155,310,-2724.37
156,312,1925.47
157,314,8052
158,316,13555
159,318,16543.5
160,320,17199.9
161,322,14161.6
162,324,9197.67
163,326,2592.77
164,328,-3498.37
165,330,-6286.63
166,332,-6990.54
167,334,-4782.16
168,336,-1721.56
169,338,484.244
170,340,1826.69
171,342,1049.99
172,344,-597.564
173,346,-3565.44
174,348,-5086.58
175,350,61.7807
176,352,5611.31
177,354,6169.53
178,356,4883.84
179,358,2385.08
180,360,-756.212
181,362,-5177.05
182,364,-7385.23
183,366,-780.156
184,368,6635.76
185,370,8031.46
186,372,7232.04
187,374,4572.06
188,376,1491.46
189,378,-339.401
190,380,-1131.94
191,382,1020.27
192,384,2769.28
193,386,124.471
194,388,-3484.9
195,390,-7118.18
196,392,-8869.11
197,394,-4147.25
198,396,1627.84
199,398,5213.44
200,400,6041.83
201,402,-798.234
202,404,-8257.41
203,406,-10701.8
204,408,-9688.71
205,410,-1891.94
206,412,6750.9
207,414,11617.6
208,416,12917.4
209,418,5859.45
210,420,-2330.22
211,422,-5376.52
212,424,-5816.91
213,426,-1703.81
214,428,2610.42
215,430,2246.26
216,432,400.357
217,434,-2382.28
218,436,-4698.06
219,438,-4461
220,440,-2742.98
221,442,1268.14
222,444,5194.13
223,446,5953.1
224,448,6024.5
225,450,7573.2
226,452,8262.66
227,454,5936.97
228,456,2332.97
229,458,-2876.43
230,460,-6956.61
231,462,-4827.9
232,464,-2374.06
233,466,-4393.85
234,468,-8378.61
235,470,-16600.7
236,472,-22530
237,474,-18929.8
238,476,-9747.33
239,478,7722.38
240,480,24952.9
241,482,33731.9
242,484,36020.3
243,486,26854.1
244,488,14430.7
245,490,6421.63
246,492,-890.763
247,494,-8679.11
248,496,-15302.5
249,498,-19548.3
250,500,-21574.5
251,502,-21216.4
252,504,-18026.4
253,506,-9394.07
254,508,-278.575
255,510,4887.02
256,512,7466.6
257,514,5056.41
258,516,2150.92
259,518,3951.06
260,520,6379.11
261,522,7221.07
262,524,7261.74
263,526,5416.02
264,528,3900.63
265,530,6051.18
266,532,8131.25
267,534,7009.66
268,536,4587.92
269,538,975.706
270,540,-2712.31
271,542,-4701.47
272,544,-6445.96
273,546,-9624.92
274,548,-11930.7
275,550,-11607
276,552,-9026.53
277,554,-1895.12
278,556,5224.18
279,558,8028.56
280,560,8195.59
281,562,3588.63
282,564,-1057.17
283,566,-177.837
284,568,2126
285,570,3917.38
286,572,5633.36
287,574,7434.93
288,576,8039.28
289,578,5906.47
290,580,1806.68
291,582,-6124.91
292,584,-13184.6
293,586,-13368.6
294,588,-11622.2
295,590,-11729.6
296,592,-10438.5
297,594,-4388.18
298,596,2380.47
299,598,6874.85
300,600,9971.54
301,602,10820
302,604,10520.2
303,606,10273.2
304,608,8988.72
305,610,5155.36
306,612,971.795
307,614,-2389.34
308,616,-4008.23
309,618,-200.459
310,620,3655.79
311,622,2153.44
312,624,-954.676
313,626,-4303.64
314,628,-7642.3
315,630,-10329.2
316,632,-11924.2
317,634,-11586
318,636,-9623.46
319,638,-5491.44
320,640,-371.804
321,642,5222.11
322,644,10251.4
323,646,13702.1
324,648,15001.6
325,650,11961.9
326,652,7396.96
327,654,3304.69
328,656,-569.579
329,658,-3476.85
330,660,-5797.46
331,662,-7721.28
332,664,-8950.63
333,666,-9114.6
334,668,-8576.57
335,670,-7557.09
336,672,-6023.61
337,674,-3882.78
338,676,-1499.17
339,678,1204.41
340,680,3274.61
341,682,2897.49
342,684,2189.4
343,686,3645.65
344,688,4554.32
345,690,2077.37
346,692,-991.035
347,694,-3494.01
348,696,-4389.97
349,698,-836.713
350,700,4056.06
351,702,9815.94
352,704,13036
353,706,7116.38
354,708,-849.823
355,710,-6086
356,712,-9703.35
357,714,-9996.5
358,716,-8862.79
359,718,-7717.69
360,720,-5997.62
361,722,-3785.74
362,724,-965.039
363,726,3037.86
364,728,7058.4
365,730,10242.1
366,732,12427.6
367,734,13067.7
368,736,12222
369,738,8934.99
370,740,5064.41
371,742,2373.91
372,744,130.993
373,746,-1323.62
374,748,-2769.3
375,750,-5455.53
376,752,-7927.68
377,754,-9155.64
378,756,-9382.99
379,758,-8395.94
380,760,-6248.08
381,762,-1992.89
382,764,2213.65
383,766,3856.87
384,768,4733.28
385,770,5837.35
386,772,6554.84
387,774,7039.06
388,776,6465.65
389,778,2845.27
390,780,-908.302
391,782,-2195.17
392,784,-2260.85
393,786,-441.014
394,788,1338.77
395,790,1367.11
396,792,-199.126
397,794,-5971.72
398,796,-11101.6
399,798,-10339.6
400,800,-7245.52
401,802,-2529.98
402,804,2305.6
403,806,5003.7
404,808,6645.35
405,810,7265.89
406,812,7085.64
407,814,6614.44
408,816,5201.65
409,818,1823.9
410,820,-2125.83
411,822,-6211.61
412,824,-9189.05
413,826,-8761.54
414,828,-6986.38
415,830,-4960.06
416,832,-2662.66
417,834,-581.327
418,836,1388.95
419,838,3355.05
420,840,4825.41
421,842,5063.36
422,844,4756.57
423,846,4453.33
424,848,3747.17
425,850,2216.33
426,852,445.324
427,854,-1330.08
428,856,-2705.24
429,858,-2858.17
430,860,-2542.1
431,862,-2140.95
432,864,-1707.85
433,866,-1530.8
434,868,-1437.16
435,870,-1268.98
436,872,-1279.45
437,874,-1874.23
438,876,-2534.16
439,878,-3150.23
440,880,-3156.2
441,882,-1380.02
442,884,851.842
443,886,2852.96
444,888,4278.75
445,890,4093.68
446,892,3248.54
447,894,2297.06
448,896,1144.64
449,898,-159.941
450,900,-1402.74
451,902,-2590.78
452,904,-3151.69
453,906,-2056.64
454,908,-394.248
455,910,1351.87
456,912,2776.94
457,914,2903.23
458,916,2604.81
459,918,2223.38
460,920,2042.61
461,922,2854.93
462,924,3796.54
463,926,4536.39
464,928,4604.57
465,930,2942
466,932,613.693
